Brand: hyundai
Referer header: https://www.hyundaiusa.com/
Found 152 image entries across 14 models.

[140/152] ioniq-9/s/rear_three_quarter  ok (128596 bytes, image/webp)
[141/152] ioniq-9/s/side_profile  ok (20936 bytes, image/webp)
[142/152] ioniq-9/s/interior_dashboard  ok (34054 bytes, image/webp)
[143/152] ioniq-9/se/front_three_quarter  ok (44520 bytes, image/webp)
[144/152] ioniq-9/sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[145/152] ioniq-9/performance-limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[146/152] ioniq-9/performance-calligraphy/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[147/152] ioniq-9/performance-calligraphy-design/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[148/152] nexo/blue/front_three_quarter  FAIL (wrong-content-type — content-type text/html)
[149/152] nexo/blue/rear_three_quarter  FAIL (wrong-content-type — content-type text/html)
[150/152] nexo/blue/side_profile  FAIL (wrong-content-type — content-type text/html)
[151/152] nexo/blue/interior_dashboard  FAIL (wrong-content-type — content-type text/html)
[152/152] nexo/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html)

Updated catalog/data/hyundai.json and data/hyundai.json with downloaded flags.

========================================
  SUMMARY
========================================
Brand:                  hyundai
Total images attempted: 152
Successful:             120 (78.9%)
Failed:                 32

Failed by HTTP status:
  (none)

Failed by other error kind:
  wrong-content-type: 32

Models with zero successful images: 1 of 14
  - nexo (5 attempted)

Failure breakdown (one example per group):
  [wrong-content-type (text/html; charset=utf-8)] x27 — e.g. https://www.hyundaiusa.com/us/en/vehicles/elantra-n
  [wrong-content-type (text/html)] x5 — e.g. https://www.hyundainews.com/models/hyundai-nexo-2026-nexo/overview
